spread,capital,final_value,profit,return_pct,trades
0.0001,100,100.0,0.0,0.0,0
0.0001,200,181.04,-18.96,-9.48,202
0.0001,300,238.16,-61.84,-20.61,888
0.0001,400,330.71,-69.29,-17.32,962
0.0001,500,420.22,-79.78,-15.96,1155
0.0001,600,512.82,-87.18,-14.53,1205
0.0001,700,609.01,-90.99,-13.0,1282
0.0001,800,701.88,-98.12,-12.27,1324
0.0001,900,799.74,-100.26,-11.14,1352
0.0001,1000,893.94,-106.06,-10.61,1392
0.0002,100,100.0,0.0,0.0,0
0.0002,200,181.21,-18.79,-9.39,208
0.0002,300,251.93,-48.07,-16.02,629
0.0002,400,344.71,-55.29,-13.82,709
0.0002,500,436.35,-63.65,-12.73,820
0.0002,600,529.16,-70.84,-11.81,876
0.0002,700,626.61,-73.39,-10.48,916
0.0002,800,719.6,-80.4,-10.05,962
0.0002,900,819.8,-80.2,-8.91,972
0.0002,1000,911.54,-88.46,-8.85,1000
0.0003,100,100.0,0.0,0.0,0
0.0003,200,181.25,-18.75,-9.37,190
0.0003,300,260.01,-39.99,-13.33,449
0.0003,400,351.65,-48.35,-12.09,513
0.0003,500,444.9,-55.1,-11.02,586
0.0003,600,538.62,-61.38,-10.23,642
0.0003,700,635.93,-64.07,-9.15,660
0.0003,800,727.96,-72.04,-9.01,699
0.0003,900,827.96,-72.04,-8.0,699
0.0003,1000,921.8,-78.2,-7.82,726
0.0004,100,100.0,0.0,0.0,0
0.0004,200,181.21,-18.79,-9.39,180
0.0004,300,266.48,-33.52,-11.17,311
0.0004,400,356.34,-43.66,-10.92,389
0.0004,500,454.21,-45.79,-9.16,428
0.0004,600,545.56,-54.44,-9.07,482
0.0004,700,644.91,-55.09,-7.87,482
0.0004,800,738.47,-61.53,-7.69,515
0.0004,900,838.47,-61.53,-6.84,515
0.0004,1000,933.6,-66.4,-6.64,540
0.0005,100,100.0,0.0,0.0,0
0.0005,200,181.19,-18.81,-9.4,140
0.0005,300,270.72,-29.28,-9.76,215
0.0005,400,361.23,-38.77,-9.69,279
0.0005,500,460.23,-39.77,-7.95,292
0.0005,600,551.44,-48.56,-8.09,329
0.0005,700,651.44,-48.56,-6.94,329
0.0005,800,743.8,-56.2,-7.02,348
0.0005,900,843.8,-56.2,-6.24,348
0.0005,1000,937.57,-62.43,-6.24,363
0.0006,100,100.0,0.0,0.0,0
0.0006,200,181.33,-18.67,-9.34,126
0.0006,300,274.34,-25.66,-8.55,169
0.0006,400,365.98,-34.02,-8.5,224
0.0006,500,465.98,-34.02,-6.8,224
0.0006,600,559.55,-40.45,-6.74,255
0.0006,700,659.55,-40.45,-5.78,255
0.0006,800,757.21,-42.79,-5.35,278
0.0006,900,857.21,-42.79,-4.75,278
0.0006,1000,954.33,-45.67,-4.57,289
0.0007,100,100.0,0.0,0.0,0
0.0007,200,181.23,-18.77,-9.38,118
0.0007,300,276.46,-23.54,-7.85,143
0.0007,400,367.76,-32.24,-8.06,180
0.0007,500,467.76,-32.24,-6.45,180
0.0007,600,562.57,-37.43,-6.24,205
0.0007,700,662.57,-37.43,-5.35,205
0.0007,800,760.72,-39.28,-4.91,224
0.0007,900,860.72,-39.28,-4.36,224
0.0007,1000,957.2,-42.8,-4.28,233
0.0008,100,100.0,0.0,0.0,0
0.0008,200,181.78,-18.22,-9.11,96
0.0008,300,280.64,-19.36,-6.45,99
0.0008,400,372.68,-27.32,-6.83,130
0.0008,500,472.68,-27.32,-5.46,130
0.0008,600,564.41,-35.59,-5.93,147
0.0008,700,664.41,-35.59,-5.08,147
0.0008,800,760.89,-39.11,-4.89,162
0.0008,900,860.89,-39.11,-4.35,162
0.0008,1000,955.26,-44.74,-4.47,171
0.0009,100,100.0,0.0,0.0,0
0.0009,200,182.6,-17.4,-8.7,77
0.0009,300,282.14,-17.86,-5.95,81
0.0009,400,375.13,-24.87,-6.22,100
0.0009,500,475.13,-24.87,-4.97,100
0.0009,600,572.25,-27.75,-4.62,116
0.0009,700,672.25,-27.75,-3.96,116
0.0009,800,768.81,-31.19,-3.9,123
0.0009,900,868.81,-31.19,-3.47,123
0.0009,1000,963.7,-36.3,-3.63,126
0.001,100,100.0,0.0,0.0,0
0.001,200,183.56,-16.44,-8.22,66
0.001,300,283.56,-16.44,-5.48,66
0.001,400,377.96,-22.04,-5.51,84
0.001,500,477.96,-22.04,-4.41,84
0.001,600,574.9,-25.1,-4.18,93
0.001,700,674.9,-25.1,-3.59,93
0.001,800,771.49,-28.51,-3.56,96
0.001,900,871.49,-28.51,-3.17,96
0.001,1000,970.3,-29.7,-2.97,99
